1001	大一	2001.3.4	99.00	100.00	99.00	90.00	100.00
1002	大二	2001.9.2	100.00	100.00	99.00	97.00	100.00
1003	大三	2001.12.2	97.00	100.00	99.00	97.00	100.00
1004	大四	2001.5.2	96.00	100.00	99.00	97.00	100.00
1005	大五	2001.3.7	95.00	100.00	99.00	97.00	100.00
1006	大六	2001.3.9	93.00	100.00	99.00	97.00	100.00
1007	大七	2001.6.2	94.00	100.00	99.00	97.00	100.00
1008	大八	2001.7.2	92.00	100.00	99.00	97.00	100.00
1009	大九	2001.8.2	91.00	100.00	99.00	97.00	100.00
1010	大零	2001.9.2	90.00	100.00	99.00	97.00	100.00

